step,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33
125,0,1,0,0,6393,223,1,220,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3181,756,1,0,1,2837,1,1,1,1,3,1
126,0,1,0,0,6452,223,1,222,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3201,763,1,0,1,2867,1,1,1,1,3,1
127,0,1,0,0,6499,223,1,223,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3212,765,1,0,1,2890,1,1,1,1,3,1
128,0,1,0,0,6543,223,1,224,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3221,772,1,0,1,2903,1,1,1,1,3,1
129,0,1,0,0,6612,223,1,227,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3238,780,1,0,1,2922,1,1,1,1,3,1
130,0,1,0,0,6652,224,1,228,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3258,781,1,0,1,2938,1,1,1,1,3,1
131,0,1,0,0,6728,224,1,229,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3296,793,1,0,1,2977,1,1,1,1,3,1
132,0,1,0,0,6780,224,1,232,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3316,799,1,0,1,3003,1,1,1,1,3,1
133,0,1,0,0,6829,224,1,233,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3332,807,1,0,1,3022,1,1,1,1,3,1
134,0,1,0,0,6874,225,1,234,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3348,810,1,0,1,3041,1,1,1,1,3,1
135,0,1,0,0,6916,225,1,236,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3362,820,1,0,1,3066,1,1,1,1,3,1
136,0,1,0,0,6974,225,1,237,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3391,829,1,0,1,3089,1,1,1,1,3,1
137,0,1,0,0,7001,225,1,241,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3401,832,1,0,1,3099,1,1,1,1,3,1
138,0,1,0,0,7063,225,1,243,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3422,835,1,0,1,3112,1,1,1,1,3,1
139,0,1,0,0,7125,226,1,243,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3460,842,1,0,1,3131,1,1,1,1,3,1
140,0,1,0,0,7149,226,1,243,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3472,851,1,0,1,3140,1,1,1,1,3,1
141,0,1,0,0,7206,226,1,243,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3500,857,1,0,1,3154,1,1,1,1,3,1
142,0,1,0,0,7234,226,1,243,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3504,857,1,0,1,3166,1,1,1,1,3,1
143,0,1,0,0,7300,226,1,243,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3537,867,1,0,1,3183,1,1,1,1,3,1
144,0,1,0,0,7332,226,1,244,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3544,872,1,0,1,3204,1,1,1,1,3,1
145,0,1,0,0,7385,226,1,245,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3569,880,1,0,1,3224,1,1,1,1,3,1
146,0,1,0,0,7422,226,1,245,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3577,882,1,0,1,3232,1,1,1,1,3,1
147,0,1,0,0,7473,226,1,247,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3597,890,1,0,1,3250,1,1,1,1,3,1
148,0,1,0,0,7507,226,1,247,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3608,892,1,0,1,3265,1,1,1,1,3,1
