smiles,n_success_mut,n_failures_mut,silly_walks,total,obj_computation_time,history_data
Nc1cc(CO)c2c(c1)CC(=O)O2,1,0,0.0,0.0,0.0005271434783935547,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_AddA-37_RmA-0|RmA-8_AddA-33_RmA-11|ChB-710_ChB-7_ChB-707
NNc1ccc(O)c(C(=O)OO)c1,1,0,0.0,0.0,0.0005068778991699219,CC(=O)Oc1ccccc1C(=O)O|AddA-54_ChB-707_RmA-2|AddA-29_ChB-703_ChB-1406|AddA-57_AddA-61_RmA-12|RmA-0_ChB-707_RmA-1
NOC(=O)c1ccc(C(N)C(=O)O)cc1N,1,0,0.0,0.0,0.0005977153778076172,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|ChB-714_ChB-11_AddA-25|ChB-1419_ChB-13_AddA-29|RmA-15_AddA-61_RmA-15|ChB-975_ChB-378_AddA-25
O=COc1ccccc1C(=O)O,1,0,0.0,0.0,0.0004611015319824219,CC(=O)Oc1ccccc1C(=O)O|ChB-707_ChB-0_ChB-703|ChB-2284_ChB-1581_RmA-2
CCOc1ccccc1C(=O)O,0,0,0.0,0.0,0.0004532337188720703,CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-8_ChB-2316_ChB-1613|ChB-2316_ChB-1613_AddA-37|ChB-1406_RmA-9_RmA-0
NCCOc1cc(N)ccc1C(=O)O,1,0,0.0,0.0,0.0005142688751220703,CC(=O)Oc1ccccc1C(=O)O|AddA-5_RmA-2_AddA-25
Nc1cc2c(c(C(=O)O)c1O)OC(O)C2,0,0,0.0,0.0,0.0005896091461181641,CC(=O)Oc1ccccc1C(=O)O|ChB-707_ChB-0_ChB-703|AddA-25_AddA-30_ChB-703
Nc1cc(CC(=O)O)ccc1C(=O)O,1,0,0.0,0.0,0.0005104541778564453,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|ChB-714_ChB-11_AddA-25|ChB-1419_ChB-13_AddA-29|RmA-15_AddA-61_RmA-15|RmA-13_AddA-57_RmA-0
NCc1cc(N)cc(C(=O)OO)c1O,1,0,0.0,0.0,0.0005371570587158203,CC(=O)Oc1ccccc1C(=O)O|AddA-54_ChB-707_RmA-2|AddA-29_ChB-703_ChB-1406|AddA-57_AddA-61_RmA-12|RmA-0_ChB-1410_ChB-4
NCC(=O)Oc1ccc(N)cc1CO,1,0,0.0,0.0,0.0005207061767578125,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_AddA-37_RmA-0|RmA-8_AddA-33_RmA-11|ChB-1413_ChB-7_AddA-5
Nc1ccc(C(=O)O)cc1C(=O)OO,1,0,0.0,0.0,0.000518798828125,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_AddA-34_AddA-21|RmA-0_RmA-1_RmA-3|AddA-50_AddA-5_ChB-1410|AddA-37_ChB-707_RmA-0
Nc1c(O)cc(C(=O)O)c2c1CCO2,1,0,0.0,0.0,0.0006041526794433594,CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-0_RmA-7_ChB-706|ChB-2284_ChB-1581_AddA-29|ChB-1415_AddA-14_ChB-9
Nc1cc(C=O)ccc1NCCO,2,0,0.0,0.0,0.0004906654357910156,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|RmA-9_AddA-33_AddA-29|ChB-709_AddA-61_ChB-108|RmA-0_RmA-10_RmA-0
Nc1cc(C(=O)OO)c(N)cc1CC=O,2,0,0.0,0.0,0.0005714893341064453,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_ChB-2461_ChB-1758|AddA-46_AddA-53_AddA-13|AddA-33_RmA-0_RmA-0
Nc1cc(NCCO)c(O)cc1C(=O)O,2,0,0.0,0.0,0.0005657672882080078,CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-8_ChB-2316_ChB-1613|ChB-2316_ChB-1613_AddA-37|ChB-708_AddA-26_ChB-108
NC(C(=O)O)c1cccc(C(=O)O)c1,1,0,0.0,0.0,0.0008311271667480469,CC(=O)Oc1ccccc1C(=O)O|AddA-5_ChB-707_ChB-108
